type,name,symbol,id
stocks,Duty Free Intl,5SO,-179
stocks,Dyna-Mac,NO4,-180
stocks,Dynamic Colours^,D6U,-181
businesstrusts,Eagle HTrust USD,LIW,-182
reits,EC World Reit,BWCU,-183
stocks,EcoWise,5CT,-184
stocks,Edition,5HG,-185
stocks,Eindec,42Z,-186
stocks,Elec & Eltek USD,E16,-187
reits,EliteComREIT GBP,MXNU,-188
stocks,Ellipsiz,BIX,-189
stocks,EMAS Offshore,UQ4,-190
stocks,Eneco Energy^,R14,-191
stocks,EnGro,S44,-192
stocks,Envictus^,BQD,-193
stocks,Enviro-Hub^,L23,-194
stocks,Epicentre,5MQ,-195
stocks,ES,5RC,-196
reits,ESR-REIT,J91U,-197
stocks,ETC Singapore,1C0,-198
stocks,EuroSports Gbl,5G1,-199
stocks,Excelpoint,BDF,-200
stocks,Ezion,5ME,-201
stocks,Ezra,5DN,-202
stocks,F & N,F99,-203
stocks,Fabchem China^,BFT,-204
stocks,Falcon Energy^,5FL,-205
stocks,Far East,5TJ,-206
businesstrusts,Far East HTrust,Q5T,-207
stocks,Far East Orchard,O10,-208
stocks,Federal Int,BDU,-209
stocks,Figtree,5F4,-210
reits,First Reit,AW9U,-211
stocks,First Resources,EB5,-212
stocks,First Sponsor,ADN,-213
stocks,FJ Benjamin^,F10,-214
stocks,Food Empire,F03,-215
stocks,Forise Intl^,I5H,-216
stocks,FortressMinerals,OAJ,-217
stocks,Fragrance,F31,-218
reits,Frasers Com Tr,ND8U,-219
reits,Frasers Cpt Tr,J69U,-220
businesstrusts,Frasers HTrust,ACV,-221
reits,Frasers L&I Tr,BUOU,-222
reits,Frasers L&I Tr  AUD,BWQU,-223
stocks,Frasers Property,TQ5,-224
stocks,Frencken,E28,-225
businesstrusts,FSL Trust^,D8DU,-226
stocks,Fu Yu,F13,-227
stocks,Fuji Offset,508,-228
stocks,Fujian Zhenyun,5KT,-229
stocks,Full Apex^,BTY,-230
stocks,Fuxing China,AWK,-231
stocks,G Invacom^,QS9,-232
stocks,G K Goh,G41,-233
stocks,Gallant Venture,5IG,-234
stocks,GCCP,41T,-235
